OffenderID,AGE,BOOKER2,BOOKER3,BOOKERCD,CIRCDIST,CITIZEN,CITWHERE,CRIMHIST,CRIMLIV,DISTRICT,YearBorn,DRUGMIN,DSPLEA,ENCRYPT1,ENCRYPT2,FIREMIN1,FIREMIN2,GUNMIN1,GUNMIN2,GUNMIN3,IDMIN,IMMIMIN,Education,Race,nDrugs,nDependents,Offense,POOFFICE,PORNMIN,REAS1,REAS2,SAFE,SentenceMonths,SentenceType,SENTTOT0,SENTYR,SEXADJB,SEXCAP,SEXMIN,STATMAX,STATMIN,TERORHI,MinTimeServed,TOTDAYS,CrimHistCat,FinalOffLevel,MaxGuideRange,MinGuideRange,AgeRange
2215028,45,2,3,5,8,3,37,1,-999,7,1969,120,1,0,0,0,0,0,0,0,0,0,1,3,1,3,"Drugs - Trafficking, Manufacturing, and Importing",1,0,19,858,1,23.16,1,23.16,2014,-999,0,0,9996,120,0,20.18,0,1,31,135,108,6
2215406,51,2,3,7,8,5,28,0,-999,7,1963,0,1,0,0,0,0,0,0,0,0,0,1,3,-999,3,Racketeering /Extortion,1,0,731,835,-999,92,1,92,2014,-999,0,0,240,0,0,80.14,0,1,33,168,135,7
2215407,39,3,5,10,8,1,211,0,-999,7,1975,0,1,0,0,0,0,0,0,0,0,0,5,3,-999,3,Missing,1,0,1200,839,-999,30,1,30,2014,-999,0,0,120,0,0,26.13,0,1,30,121,97,5
2215419,36,2,3,7,8,3,37,1,-999,7,1978,0,1,0,0,0,0,0,0,0,0,0,3,3,-999,3,Pornography/Prostitution,1,0,1,3,-999,18,1,18,2014,-999,0,0,240,0,0,15.68,0,4,13,30,24,5
2215428,51,3,5,10,8,1,211,1,-999,7,1963,0,1,0,0,0,0,0,0,0,0,0,6,1,-999,4,Forgery/Counterfeiting,1,0,1,2,-999,-999,4,0,2014,-999,0,0,60,0,0,0,0,1,12,16,10,7
2215433,27,3,5,10,8,1,211,1,-999,7,1987,0,8,0,0,0,0,0,0,0,0,0,3,2,-999,1,Missing,1,180,1,2,-999,204,1,204,2014,5,1,0,3840,180,0,177.71,0,1,43,9996,9996,3
2215451,50,2,3,5,8,3,37,1,-999,7,1964,120,1,0,0,0,0,0,0,0,0,0,1,3,1,6,"Drugs - Trafficking, Manufacturing, and Importing",1,0,19,858,1,31.92,1,31.92,2014,-999,0,0,9996,120,0,27.81,10,1,23,57,46,6
2215452,33,3,4,9,8,1,211,1,-999,7,1981,0,1,0,0,0,0,0,0,0,0,0,5,2,-999,4,Embezzlement,1,0,678,777,-999,84,1,84,2014,-999,0,0,480,0,0,73.17,0,2,28,108,87,4
2215454,41,2,3,5,8,2,27,0,-999,7,1972,0,1,0,0,0,0,0,0,0,0,0,6,6,-999,2,Antitrust Violations,1,0,19,-999,-999,-999,4,0,2014,-999,0,0,12,0,0,0,0,1,19,37,30,6
2215455,28,3,5,10,8,3,49,0,-999,7,1986,0,1,0,0,0,0,0,0,0,0,0,-999,3,-999,0,Embezzlement,1,0,1,2,-999,3.69,1,3.69,2014,-999,0,0,180,0,0,3.69,0,1,12,16,10,3
2215556,45,2,3,5,8,1,211,1,-999,7,1969,120,1,0,0,0,0,0,0,0,0,0,1,3,2,3,"Drugs - Trafficking, Manufacturing, and Importing",1,0,19,500,0,12.03,1,12.03,2014,-999,0,0,9996,120,0,10.48,1,2,26,87,70,6
2215656,25,3,5,10,8,1,211,1,-999,7,1989,0,1,0,0,0,0,0,0,0,0,0,3,2,-999,0,"Firearms (Includes Firearms Use, Possession, and Trafficking)",1,0,828,-999,-999,30,1,30,2014,-999,0,0,120,0,0,26.13,0,4,17,46,37,2
2215658,28,2,3,5,8,3,37,0,-999,7,1986,0,1,0,0,0,0,0,0,0,0,0,1,3,1,3,"Drugs - Trafficking, Manufacturing, and Importing",1,0,19,-999,1,18.07,1,18.07,2014,-999,0,0,240,0,0,15.74,0,1,17,30,24,3
2215662,25,3,5,10,8,2,30,0,-999,7,1989,0,1,0,0,0,0,0,0,0,0,0,1,3,-999,0,Embezzlement,1,0,1,2,-999,15,1,15,2014,-999,0,0,90,0,0,13.07,0,1,21,46,37,2
2215912,36,3,5,10,8,1,211,1,-999,7,1977,0,1,0,0,0,0,0,0,0,0,0,5,3,-999,1,Embezzlement,1,0,1,2,-999,22,1,22,2014,-999,0,0,90,0,0,19.16,0,4,21,71,57,5
2216177,26,0,0,0,8,5,51,0,-999,7,1988,0,5,0,0,0,0,0,0,0,0,0,5,2,-999,0,Pornography/Prostitution,1,0,-999,-999,-999,4.16,1,4.16,2014,-999,0,0,120,0,0,4.16,0,1,6,6,0,3
2216484,41,2,3,7,8,1,211,1,-999,7,1973,0,1,0,0,0,0,0,0,0,0,0,5,1,-999,3,Gambling/Lottery,1,0,17,670,-999,-999,1,0,2014,-999,0,0,240,0,0,0,0,1,16,27,21,6
2216496,53,2,3,7,8,1,211,1,-999,7,1961,0,1,0,0,0,0,0,0,0,0,0,3,1,-999,0,Gambling/Lottery,1,0,731,828,-999,-999,1,0,2014,-999,0,0,240,0,0,0,0,2,16,30,24,7
2216690,23,2,3,6,8,1,211,1,-999,7,1991,0,1,0,0,0,0,0,0,0,0,0,5,2,1,0,"Drugs - Trafficking, Manufacturing, and Importing",1,0,48,1,0,0.33,1,0.33,2014,-999,0,0,240,0,0,0.33,0,1,23,57,46,2
2216949,40,3,5,10,8,1,211,0,-999,7,1973,120,1,0,0,0,0,0,0,0,0,0,1,3,3,4,"Drugs - Trafficking, Manufacturing, and Importing",1,0,1,2,0,300,1,300,2014,-999,0,0,9996,120,0,261.34,0,1,42,9996,360,5
2216969,55,0,0,0,8,2,27,0,-999,7,1959,0,1,0,0,0,0,0,0,0,0,0,6,6,-999,0,Assault,1,0,-999,-999,-999,0.07,1,0.07,2014,-999,0,0,12,0,0,0.07,0,1,2,6,0,7
2217012,34,2,3,5,8,1,211,1,-999,7,1980,0,1,0,0,0,0,0,0,0,0,0,3,1,1,1,"Drugs - Trafficking, Manufacturing, and Importing",1,0,19,-999,0,-999,4,0,2014,-999,0,0,60,0,0,0,0,4,10,21,15,4
2217073,27,0,0,0,8,3,51,0,-999,7,1986,0,5,0,0,0,0,0,0,0,0,0,5,2,-999,0,Pornography/Prostitution,1,0,-999,-999,-999,-999,1,0,2014,-999,0,0,120,0,0,0,0,1,8,6,0,3
2217118,28,2,3,6,8,3,38,1,-999,7,1985,0,1,0,0,0,0,0,0,0,0,0,5,6,1,0,"Drugs - Trafficking, Manufacturing, and Importing",1,0,48,858,1,18,1,18,2014,-999,0,0,240,0,0,15.68,0,1,21,46,37,3
2217119,41,0,0,0,8,1,211,1,-999,7,1973,0,8,0,0,0,0,0,0,0,24,0,5,1,-999,4,Embezzlement,1,0,1,2,-999,84,1,84,2014,-999,0,0,2484,24,0,73.17,0,1,27,87,70,6
2217300,35,0,0,0,8,3,51,0,-999,7,1979,0,5,0,0,0,0,0,0,0,0,0,1,2,-999,0,Pornography/Prostitution,1,0,-999,-999,-999,1.56,1,1.56,2014,-999,0,0,120,0,0,1.56,0,1,6,6,0,4
2217558,34,3,5,10,8,2,30,1,-999,7,1980,60,1,0,0,0,0,0,0,0,0,0,1,3,1,1,"Drugs - Trafficking, Manufacturing, and Importing",1,0,1,2,1,8,3,0,2014,-999,0,0,480,60,0,0,0,1,19,37,30,4
2217559,60,3,5,10,8,1,211,1,-999,7,1953,120,1,0,0,0,0,0,0,0,0,0,3,3,1,3,"Drugs - Trafficking, Manufacturing, and Importing",1,0,1,2,1,12.03,1,12.03,2014,-999,0,0,9996,120,0,10.48,1,1,25,71,57,7
2217882,45,3,4,9,8,3,28,0,-999,7,1969,120,1,0,0,0,0,0,0,0,0,0,3,3,1,3,"Drugs - Trafficking, Manufacturing, and Importing",1,0,761,-999,1,48,1,48,2014,-999,0,0,9996,120,0,41.81,0,1,33,168,135,6
2218029,53,2,3,7,8,1,211,1,-999,7,1961,120,1,0,0,0,0,0,0,0,0,0,1,3,2,1,"Drugs - Trafficking, Manufacturing, and Importing",1,0,17,731,-999,151,1,151,2014,-999,0,0,9996,120,0,131.54,0,1,36,235,188,7
2218030,35,0,0,0,8,1,211,1,-999,7,1978,0,1,0,0,0,0,0,0,0,0,0,3,1,1,0,"Drugs - Trafficking, Manufacturing, and Importing",1,0,-999,-999,1,-999,4,0,2014,-999,0,0,120,0,0,0,0,1,4,6,0,4
2218031,40,0,0,0,8,1,211,0,-999,7,1974,0,1,0,0,0,0,0,0,0,0,0,5,1,1,0,"Drugs - Trafficking, Manufacturing, and Importing",1,0,-999,-999,0,0.03,1,0.03,2014,-999,0,0,120,0,0,0.03,0,1,8,6,0,5
2218064,46,2,3,5,8,5,42,0,-999,7,1968,0,1,0,0,0,0,0,0,0,0,0,6,3,-999,0,Food and Drug Offenses,1,0,19,-999,-999,1.16,1,1.16,2014,-999,0,0,480,0,0,1.16,0,1,23,57,46,6
2218065,46,2,3,5,8,1,211,0,-999,7,1968,0,1,0,0,0,0,0,0,0,0,0,6,1,-999,3,Embezzlement,1,0,19,-999,-999,-999,4,0,2014,-999,0,0,360,0,0,0,0,1,17,30,24,6
2218222,31,2,3,5,8,2,58,1,-999,7,1983,120,1,0,0,0,0,0,0,0,0,0,5,2,1,2,"Drugs - Trafficking, Manufacturing, and Importing",1,0,19,-999,1,-999,4,0,2014,-999,0,0,9996,120,0,0,0,1,31,135,108,4
2218241,28,2,3,6,8,1,211,0,-999,7,1985,0,1,0,0,0,0,0,0,0,0,0,5,3,2,1,"Drugs - Trafficking, Manufacturing, and Importing",1,0,48,17,1,18,1,18,2014,-999,0,0,240,0,0,15.68,0,1,23,57,46,3
2218262,41,2,3,6,8,3,30,1,-999,7,1973,0,1,0,0,0,0,0,0,0,0,0,3,3,-999,3,Pornography/Prostitution,1,0,48,1,-999,8.31,1,8.31,2014,-999,0,0,240,0,0,8.31,0,4,21,71,57,6
2218265,41,3,5,10,8,1,211,0,-999,7,1973,120,5,0,0,0,0,0,0,0,0,0,5,3,2,1,"Drugs - Trafficking, Manufacturing, and Importing",1,0,1,2,0,60,1,60,2014,-999,0,0,9996,120,0,52.27,0,1,27,87,70,6
2218762,28,3,5,10,8,2,45,0,-999,7,1986,0,8,0,0,0,0,84,0,0,0,0,3,2,-999,1,"Firearms (Includes Firearms Use, Possession, and Trafficking)",1,0,828,-999,-999,90.07,1,90.07,2014,-999,0,0,9996,84,0,78.46,0,1,26,78,63,3
